レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率,締切予定時刻,今節成績_1-1,今節成績_1-2,今節成績_2-1,今節成績_2-2,今節成績_3-1,今節成績_3-2,今節成績_4-1,今節成績_4-2,今節成績_5-1,今節成績_5-2,今節成績_6-1,今節成績_6-2,2着が1号艇,2着が2号艇,2着が3号艇,2着が4号艇,2着が5号艇,2着が6号艇,当該コース1着合計
芦屋,10R,1,5084.0,末永和也,佐賀,A1,7.21,7.29,0.88,65,0.04,3,0.05,4,0.13,2.7,0.14,4.5,0.0,0,0.08,6,0.05,4.0,3.4,B+,未消化,0.375,0.297,D,3,2,0.40,0.08,15:26,2,6,6,,5,,,,,,,,-,25,20,15,6,1,67.0
芦屋,10R,2,4524.0,深谷知博,静岡,A1,6.85,5.56,0.13,7,0.32,17,0.13,7,0.13,3.2,0.17,4.5,0.07,4,0.05,3,0.0,,3.4,B+,隠F+F,0.3,0.25,C,4,2,0.22,0.13,15:26,5,1,3,,4,,,,,,,,2,-,1,2,1,1,7.0
芦屋,10R,3,4686.0,丸野一樹,滋賀,A1,6.82,5.58,0.18,10,0.25,14,0.25,14,0.14,3.3,0.11,3.0,0.02,1,0.05,3,0.1,6.0,3.0,B+,,0.36,0.32,B,4,4,0.17,0.10,15:26,5,3,3,,1,,,,,,,,7,0,-,2,4,0,13.0
芦屋,10R,4,4831.0,羽野直也,福岡,A1,7.22,6.86,0.05,2,0.23,9,0.44,17,0.14,3.3,0.11,3.0,0.02,1,0.0,0,0.05,2.0,3.4,A,,0.308,0.333,A,5,4,0.10,0.07,15:26,3,,1,1,2,,,,,,,,1,1,1,-,0,0,3.0
芦屋,10R,5,4736.0,高倉和士,福岡,A1,6.51,7.05,0.15,8,0.10,5,0.23,12,0.13,2.4,0.11,2.7,0.0,0,0.0,0,0.11,6.0,2.8,C,,0.452,0.262,C,3,3,0.40,0.06,15:26,,,,,,,,,,,,,2,3,1,0,-,2,8.0
芦屋,10R,6,4682.0,大上卓人,広島,A1,7.44,5.75,0.02,1,0.09,5,0.27,15,0.16,3.8,0.16,4.7,0.0,0,0.0,0,0.0,0.0,3.6,B+,,0.357,0.446,B,5,3,0.16,0.25,15:26,4,,3,,1,2,,,,,,,0,0,0,0,1,-,1.0
芦屋,11R,1,4337.0,平本真之,愛知,A1,7.64,7.63,0.66,48,0.21,15,0.04,3,0.12,2.5,0.1,3.2,0.14,11,0.09,7,0.09,7.0,2.0,-,,0.4,0.28,D,3,2,0.36,0.07,16:03,5,,1,6,6,,,,,,,,-,24,13,6,11,2,56.0
芦屋,11R,2,3590.0,濱野谷憲吾,東京,A1,6.45,5.58,0.26,13,0.26,13,0.20,10,0.14,3.0,0.08,2.5,0.13,7,0.09,5,0.0,,4.4,A+,,0.288,0.327,B,4,4,0.21,0.15,16:03,1,,3,4,2,,,,,,,,8,-,2,1,3,0,14.0
芦屋,11R,3,4497.0,桑原悠,長崎,A1,7.07,6.05,0.30,13,0.20,9,0.11,5,0.13,2.2,0.13,2.5,0.0,0,0.07,3,0.24,11.0,3.0,-,,0.366,0.244,B,4,4,0.29,0.02,16:03,4,,1,,1,6,,,,,,,10,2,-,3,0,0,15.0
芦屋,11R,4,4719.0,上條暢嵩,大阪,A1,7.31,6.83,0.08,4,0.18,9,0.31,16,0.14,3.1,0.12,3.0,0.05,3,0.03,2,0.0,0.0,4.0,A,,0.328,0.328,B,4,4,0.28,0.12,16:03,2,1,5,,2,,,,,,,,1,3,0,-,1,0,5.0
芦屋,11R,5,3779.0,原田幸哉,長崎,A1,6.35,6.56,0.09,4,0.14,6,0.23,10,0.12,2.6,0.1,2.2,0.0,0,0.05,2,0.1,4.0,3.0,C,未消化F,0.291,0.345,C,4,3,0.27,0.07,16:03,,,,,,,,,,,,,0,2,1,3,-,1,7.0
芦屋,11R,6,4932.0,新開航,福岡,A1,7.58,7.41,0.05,3,0.20,11,0.20,11,0.16,4.1,0.1,3.2,0.0,0,0.0,0,0.02,1.0,3.2,-,,0.226,0.528,C,4,3,0.09,0.27,16:03,3,,2,5,3,,,,,,,,1,0,2,0,0,-,3.0
芦屋,12R,1,4444.0,桐生順平,埼玉,A1,7.07,6.74,0.73,51,0.17,12,0.03,2,0.13,2.6,0.14,4.2,0.07,5,0.1,7,0.08,6.0,3.0,-,隠F,0.333,0.314,C,4,3,0.42,0.06,16:42,4,,5,1,3,,,,,,,,-,18,16,11,3,4,52.0
芦屋,12R,2,4344.0,新田雄史,三重,A1,7.62,7.1,0.33,16,0.27,13,0.24,12,0.13,2.6,0.1,4.0,0.22,11,0.08,4,0.0,,4.0,A,,0.377,0.264,C,4,3,0.39,0.08,16:42,2,1,6,,3,,,,,,,,5,-,5,7,0,0,17.0
芦屋,12R,3,4848.0,仲谷颯仁,福岡,A1,7.23,7.22,0.25,10,0.25,10,0.28,11,0.14,3.4,0.12,2.7,0.02,1,0.02,1,0.16,7.0,2.6,-,,0.238,0.381,C,4,3,0.13,0.13,16:42,1,3,2,,5,,,,,,,,3,4,-,2,1,1,11.0
芦屋,12R,4,4573.0,佐藤翼,埼玉,A1,6.68,0.0,0.08,4,0.21,11,0.21,11,0.13,3.0,0.12,3.7,0.0,0,0.09,5,0.04,2.0,3.3,B+,未消化F,0.279,0.349,C,3,3,0.19,0.07,16:42,3,5,2,,4,,,,,,,,1,1,1,-,4,0,7.0
芦屋,12R,5,4586.0,磯部誠,愛知,A1,7.19,5.93,0.16,7,0.23,10,0.12,5,0.14,3.0,0.09,2.0,0.02,1,0.02,1,0.06,3.0,4.2,B+,,0.314,0.314,B,4,4,0.28,0.11,16:42,,,,,,,,,,,,,2,3,1,2,-,0,8.0
芦屋,12R,6,4013.0,中島孝平,福井,A1,6.87,7.22,0.04,2,0.26,15,0.12,7,0.15,3.3,0.11,2.7,0.0,0,0.0,0,0.0,0.0,3.2,B+,隠F,0.208,0.509,A,5,4,0.20,0.16,16:42,4,2,1,,1,,,,,,,,0,0,0,0,1,-,1.0
若松,01R,1,5031.0,渡辺空依,福岡,B1,4.58,4.25,0.46,11,0.21,5,0.21,5,0.17,3.3,0.16,3.5,0.13,3,0.21,5,0.13,3.0,3.0,-,,0.222,0.222,D,3,2,0.13,0.17,17:41,4,4,6,,5,,,,,,,,-,2,2,2,2,3,11.0
若松,01R,2,4651.0,佐藤大騎,大阪,B1,3.81,3.13,0.09,4,0.16,7,0.11,5,0.16,3.1,0.2,4.5,0.08,3,0.03,1,0.0,,3.0,C,隠F,0.4,0.3,C,4,2,0.18,0.15,17:41,5,6,3,,4,,,,,,,,3,-,0,1,0,1,5.0
若松,01R,3,4164.0,岩永節也,長崎,B1,4.24,3.19,0.04,2,0.10,5,0.15,7,0.18,4.0,0.11,2.2,0.02,1,0.0,0,0.0,0.0,3.0,C,,0.0,0.167,C,3,3,0.10,0.27,17:41,5,,4,6,2,,,,,,,,0,0,-,1,1,0,2.0
若松,01R,4,4880.0,澤崎雄哉,東京,B1,5.36,4.7,0.12,5,0.16,7,0.26,11,0.16,3.0,0.15,3.2,0.05,2,0.05,2,0.1,4.0,3.0,B+,,0.5,0.3,C,3,3,0.20,0.05,17:41,4,,6,5,6,2,,,,,,,3,4,0,-,0,1,8.0
若松,01R,5,4232.0,笠雅雄,福岡,B1,5.62,4.29,0.05,2,0.15,6,0.12,5,0.17,3.3,0.14,2.5,0.0,0,0.02,1,0.04,2.0,2.8,C,,0.143,0.429,C,3,4,0.21,0.13,17:41,,,,,,,,,,,,,1,1,0,0,-,1,3.0
若松,01R,6,4158.0,木場雄二郎,山口,B1,4.81,3.25,0.04,2,0.09,4,0.07,3,0.17,3.5,0.13,2.7,0.0,0,0.02,1,0.02,1.0,3.6,-,,0.28,0.28,B,4,4,0.24,0.26,17:41,2,4,1,,3,,,,,,,,1,0,0,1,0,-,2.0
