レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率
若松,07R,5,3654,武田光史,福井,A1,6.05,8.50,0.10,4,0.34,14,0.17,7,0.18,3.9,-,-,0.00,0,0.00,0,0.10,5,4,-,,,,B,4,4,0.09,0.16
若松,07R,6,4404,岸蔭亮,兵庫,B1,3.76,0.00,0.00,0,0.02,1,0.02,1,0.19,4.1,-,-,0.00,0,0.00,0,0.00,0,4,C,未消化F,,,C,4,3,0.03,0.24
若松,08R,1,3956,横澤剛治,静岡,A1,6.20,6.75,0.68,39,0.07,4,0.11,6,0.17,3.3,-,-,0.04,2,0.15,8,0.13,7,6,-,L,,,C,3,3,0.20,0.07
若松,08R,2,3548,室田泰史,福井,A2,5.56,6.17,0.19,10,0.25,13,0.26,14,0.12,2.3,-,-,0.14,7,0.04,2,0.00,,3,-,未消化F,,,C,3,3,0.33,0.05
若松,08R,3,3918,深井利寿,滋賀,A2,6.47,7.25,0.19,12,0.19,12,0.19,12,0.16,3.1,-,-,0.02,1,0.10,6,0.07,4,3,B+,,,,C,4,3,0.22,0.12
若松,08R,4,5300,横田海人,愛知,B1,2.52,3.80,0.02,1,0.05,2,0.05,2,0.19,4.1,-,-,0.00,0,0.03,1,0.00,0,3,-,,,,D,2,2,0.08,0.32
若松,08R,5,5310,土屋蘭,岡山,B1,4.23,2.67,0.03,1,0.03,1,0.18,6,0.19,4.3,-,-,0.00,0,0.00,0,0.00,0,5,-,,,,C,3,3,0.00,0.29
若松,08R,6,5406,小畑楓夏,山口,B2,1.35,0.00,0.00,0,0.00,0,0.02,2,0.22,4.7,-,-,0.00,0,0.00,0,0.00,0,3,-,,,,D,2,3,0.10,0.49
若松,09R,1,4402,乙藤智史,福岡,A2,5.51,5.70,0.64,38,0.19,11,0.02,1,0.16,3.2,-,-,0.10,6,0.12,7,0.05,3,4,C,,,,C,3,4,0.33,0.11
若松,09R,2,5259,野田昇吾,埼玉,B1,3.00,0.00,0.02,1,0.20,8,0.17,7,0.15,2.9,-,-,0.03,1,0.00,0,0.00,,3,A,,,,C,3,3,0.27,0.12
